Date,Open,High,Low,Close,Adj Close,Volume
17-12-2021,320.880005,324.920013,317.25,323.799988,320.794098,47750300
20-12-2021,320.049988,322.799988,317.570007,319.910004,316.940216,28326500
21-12-2021,323.290009,327.730011,319.799988,327.290009,324.251709,24740600
22-12-2021,328.299988,333.609985,325.75,333.200012,330.106842,24831500
23-12-2021,332.75,336.390015,332.730011,334.690002,331.583038,19617800
27-12-2021,335.459991,342.480011,335.429993,342.450012,339.270996,19947000
28-12-2021,343.149994,343.809998,340.320007,341.25,338.082123,15661500
29-12-2021,341.299988,344.299988,339.679993,341.950012,338.775604,15042000
30-12-2021,341.910004,343.130005,338.820007,339.320007,336.170044,15994500
31-12-2021,338.51001,339.359985,335.850006,336.320007,333.197906,18000800
03-01-2022,335.350006,338,329.779999,334.75,331.642456,28865100
04-01-2022,334.829987,335.200012,326.119995,329.01001,325.95575,32674300
05-01-2022,325.859985,326.070007,315.980011,316.380005,313.443024,40054300
06-01-2022,313.149994,318.700012,311.48999,313.880005,310.966156,39646100
07-01-2022,314.149994,316.5,310.089996,314.040009,311.124725,32720000
10-01-2022,309.48999,314.720001,304.690002,314.269989,311.35257,44289500
11-01-2022,313.380005,316.609985,309.890015,314.980011,312.05603,29386800
12-01-2022,319.670013,323.410004,317.079987,318.269989,315.31543,34372200
13-01-2022,320.470001,320.880005,304,304.799988,301.970459,45366000
14-01-2022,304.25,310.820007,303.75,310.200012,307.320374,39846400
18-01-2022,304.070007,309.799988,301.73999,302.649994,299.840424,42333200
19-01-2022,306.290009,313.910004,302.700012,303.329987,300.51413,45933900
20-01-2022,309.070007,311.649994,301.140015,301.600006,298.800171,35380700
21-01-2022,302.690002,304.109985,295.609985,296.029999,293.281921,57984400
24-01-2022,292.200012,297.109985,276.049988,296.369995,293.618774,85731500
25-01-2022,291.519989,294.98999,285.170013,288.48999,285.81192,72848600
26-01-2022,307.98999,308.5,293.029999,296.709991,293.955597,90428900
27-01-2022,302.660004,307.299988,297.929993,299.839996,297.056519,53481300
28-01-2022,300.230011,308.480011,294.450012,308.26001,305.398407,49743700
31-01-2022,308.950012,312.380005,306.369995,310.980011,308.09314,46444500
01-02-2022,310.410004,310.630005,305.130005,308.76001,305.893738,40950400
02-02-2022,309.630005,315.119995,308.880005,313.459991,310.550079,36636000
03-02-2022,309.48999,311.230011,299.959991,301.25,298.453461,43730000
04-02-2022,300.209991,308.799988,299.970001,305.940002,303.099915,35096500
07-02-2022,306.170013,307.839996,299.899994,300.950012,298.156219,28533300
08-02-2022,301.25,305.559998,299.950012,304.559998,301.732697,32421200
09-02-2022,309.869995,311.929993,307.390015,311.209991,308.321014,31284700
10-02-2022,304.040009,309.119995,300.700012,302.380005,299.572968,45386200
11-02-2022,303.190002,304.290009,294.220001,295.040009,292.301086,39175600
14-02-2022,293.769989,296.76001,291.350006,295,292.261475,36359500
15-02-2022,300.01001,300.799988,297.019989,300.470001,297.680664,27058300
16-02-2022,298.369995,300.869995,293.679993,299.5,297.333191,29982100
17-02-2022,296.359985,296.799988,290,290.730011,288.626678,32461600
18-02-2022,293.049988,293.859985,286.309998,287.929993,285.846893,34264000
22-02-2022,285,291.540009,284.5,287.720001,285.638458,41736100
23-02-2022,290.179993,291.700012,280.100006,280.269989,278.24234,37811200
24-02-2022,272.51001,295.160004,271.519989,294.589996,292.45871,56989700
25-02-2022,295.140015,297.630005,291.649994,297.309998,295.159088,32546700
28-02-2022,294.309998,299.140015,293,298.790009,296.628357,34627500
01-03-2022,296.399994,299.970001,292.149994,294.950012,292.816162,31217800
02-03-2022,295.359985,301.470001,293.700012,300.190002,298.01825,31873000
03-03-2022,302.890015,303.130005,294.049988,295.920013,293.779144,27314500
04-03-2022,294.290009,295.660004,287.170013,289.859985,287.762939,32356500
07-03-2022,288.529999,289.690002,278.529999,278.910004,276.892181,43157200
08-03-2022,277.799988,283.959991,270,275.850006,273.854309,48159500
09-03-2022,283.440002,289.600006,280.779999,288.5,286.412811,35204500
10-03-2022,283.019989,286.600006,280.579987,285.589996,283.523834,30628000
11-03-2022,287.959991,289.51001,279.429993,280.070007,278.043793,27209300
14-03-2022,280.339996,285.399994,275.820007,276.440002,274.440063,30660700
15-03-2022,280.350006,287.820007,278.730011,287.149994,285.072571,34245100
16-03-2022,289.109985,294.570007,283.200012,294.390015,292.260193,37826300
17-03-2022,293.290009,295.609985,289.369995,295.220001,293.084198,30816600
18-03-2022,295.369995,301,292.730011,300.429993,298.25647,43390600
21-03-2022,298.890015,300.140015,294.899994,299.160004,296.995697,28351200
22-03-2022,299.799988,305,298.769989,304.059998,301.860229,27599700
23-03-2022,300.51001,303.230011,297.720001,299.48999,297.323273,25715400
24-03-2022,299.140015,304.200012,298.320007,304.100006,301.899963,24484500
25-03-2022,305.230011,305.5,299.290009,303.679993,301.482971,22566500
28-03-2022,304.329987,310.799988,304.329987,310.700012,308.452209,29578200
29-03-2022,313.910004,315.820007,309.049988,315.410004,313.128143,30393400
30-03-2022,313.76001,315.950012,311.579987,313.859985,311.589325,28163600
31-03-2022,313.899994,315.140015,307.890015,308.309998,306.079468,33422100
01-04-2022,309.369995,310.130005,305.540009,309.420013,307.181458,27110500
04-04-2022,310.089996,315.109985,309.709991,314.970001,312.691284,24289600
05-04-2022,313.269989,314.869995,309.869995,310.880005,308.63092,23156700
06-04-2022,305.190002,307,296.709991,299.5,297.333191,40110400
07-04-2022,296.660004,303.649994,296.350006,301.369995,299.189697,31411200
08-04-2022,300.440002,301.119995,296.279999,296.970001,294.821533,24361900
11-04-2022,291.790009,292.609985,285,285.26001,283.196289,34569300
12-04-2022,289.23999,290.73999,280.48999,282.059998,280.019409,30966700
13-04-2022,282.730011,288.579987,281.299988,287.619995,285.539185,21907200
14-04-2022,288.089996,288.309998,279.320007,279.829987,277.805511,28221600
18-04-2022,278.910004,282.459991,278.339996,280.519989,278.490509,20778000
19-04-2022,279.380005,286.170013,278.410004,285.299988,283.235962,22297700
20-04-2022,289.399994,289.700012,285.369995,286.359985,284.2883,22906700
21-04-2022,288.579987,293.299988,280.059998,280.809998,278.778412,29454600
22-04-2022,281.679993,283.200012,273.380005,274.029999,272.047485,29405800
25-04-2022,273.290009,281.109985,270.769989,280.720001,278.689087,35678900
26-04-2022,277.5,278.359985,270,270.220001,268.265045,46518400
27-04-2022,282.100006,290.970001,279.160004,283.220001,281.171021,63477700
28-04-2022,285.190002,290.980011,281.459991,289.630005,287.534637,33646600
29-04-2022,288.609985,289.880005,276.5,277.519989,275.512238,37073900
02-05-2022,277.709991,284.940002,276.220001,284.470001,282.411957,35151100
03-05-2022,283.959991,284.130005,280.149994,281.779999,279.741425,25978600
